UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@dtptraffic,"Traffic Alert
Traffic will remain heavy on Ring Road in the carriageway from Raja Garden towards Delhi Cantt. Metro Station due to breakdown of a truck on Mayapuri flyover.
Commuters are advised to plan their journey accordingly.",9,12,8,https://twitter.com/dtptraffic/status/1721767079005782374
@dtptraffic,MGV has been removed.,·,1,10,https://twitter.com/dtptraffic/status/1721753516946166265
@dtptraffic,"Traffic Alert
Traffic will remain heavy on Ring Road in the carriageway from Mayapuri towards Delhi Cantt. Metro Station due to breakdown of a MGV on Naraina flyover 

Commuters are advised to plan their journey accordingly.",9,2,5,https://twitter.com/dtptraffic/status/1721721330335457476
@dtptraffic,Taking forward our efforts to spread,13,2,1,https://twitter.com/dtptraffic/status/1721535014956138688
@dtptraffic,HTV has been removed.,16,1,3,https://twitter.com/dtptraffic/status/1720849907903607115
@dtptraffic,In continuation our efforts to spread,16,1,2,https://twitter.com/dtptraffic/status/1720790373675696197
@dtptraffic,"In continuation of our efforts to inculcate road sense in children, the",14,3,5,https://twitter.com/dtptraffic/status/1720069894442742150
@dtptraffic,"Traffic Alert
Traffic is affected on Mathura Road in the carriageway from Ashram towards Badarpur due to breakdown of a bus near Apollo Hospital Red Light.
Commuters are advised to plan their journey accordingly.",19,1,3,https://twitter.com/dtptraffic/status/1720059411367129465
@dtptraffic,"Traffic Alert 
Traffic is affected at round about Seemapuri due to ongoing sewage cleaning work by civic agency. Commuters are advised to plan their journey accordingly.",19,3,5,https://twitter.com/dtptraffic/status/1719993789115506693
@dtptraffic,"Traffic Alert
Traffic is affected on NH-48 in the carriageway from Rajokri towards Mahipalpur due to breakdown of an LGV at Rajokri Flyover.
Commuters are advised to plan their journey accordingly.",17,1,5,https://twitter.com/dtptraffic/status/1719974521745387594
@dtptraffic,Vehicles have been removed.,13,1,3,https://twitter.com/dtptraffic/status/1719944610330664988
@dtptraffic,"Traffic Alert
Traffic is affected in the carriageway from Mahipal Pur towards Rajokri due to breakdown of a vehicle under Mahipal pur flyover. 
Commuters are advised to plan their journey accordingly.",37,5,4,https://twitter.com/dtptraffic/status/1719939705121480976
@dtptraffic,"Traffic Alert
Traffic may remain heavy on Mathura Road in the carriageway from Ashram towards Badarpur due to accident of a Taxi and an LGV near CNG pump at Madanpur Khadar.

Commuters are advised to plan their journey accordingly.",15,2,5,https://twitter.com/dtptraffic/status/1719900998830039478
@dtptraffic,"Traffic Alert 
Traffic is affected in the carriageway from Anand Vihar towards Dilshad Garden due to ongoing construction work at Ramprastha. Commuters are advised to plan their journey accordingly.",30,2,8,https://twitter.com/dtptraffic/status/1719574167643943087
@dtptraffic,"Traffic Alert
Traffic is affected on Maa Anandmai Marg in the carriageway from Kalkaji Mandir towards Lal Kuan due to breakdown of a water tanker near Crown Plaza Red Light 

Commuters are advised to plan their journey accordingly.",24,1,2,https://twitter.com/dtptraffic/status/1719559445301371189
